Index,Sentence,Options,CorrectIndex,Label
0,All that glitters is not gold.,"240,1,20,122",1,B
1,All that glitters is not gold.,"2,139,66,204",2,A
2,All that glitters is not gold.,"43,3,213,108",3,B
3,All that glitters is not gold.,"4,164,161,157",4,A
4,All that glitters is not gold.,"40,74,92,5",5,D
5,All that glitters is not gold.,"272,6,81,52",6,B
6,All that glitters is not gold.,"214,7,166,47",7,B
7,All that glitters is not gold.,"277,211,168,8",8,D
8,All that glitters is not gold.,"103,51,208,9",9,D
9,All that glitters is not gold.,"10,81,281,209",10,A
10,All that glitters is not gold.,"11,308,100,257",11,A
11,All that glitters is not gold.,"12,332,54,25",12,A
12,All that glitters is not gold.,"83,13,168,319",13,B
13,All that glitters is not gold.,"231,293,14,99",14,C
14,All that glitters is not gold.,"15,174,332,289",15,A
15,All that glitters is not gold.,"189,270,16,50",16,C
16,All that glitters is not gold.,"155,17,237,25",17,B
17,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"256,68,150,0",0,D
18,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"268,61,2,70",2,C
19,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"3,196,201,240",3,A
20,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"251,4,118,338",4,B
21,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"5,126,164,172",5,A
22,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"6,333,55,18",6,A
23,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"7,250,87,169",7,A
24,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"318,289,238,8",8,D
25,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"9,139,87,22",9,A
26,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"329,310,10,330",10,C
27,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"11,170,271,335",11,A
28,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"42,315,214,12",12,D
29,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"170,13,315,135",13,B
30,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"55,235,14,236",14,C
31,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"259,68,276,15",15,D
32,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"16,238,27,26",16,A
33,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"339,109,221,17",17,D
34,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","145,261,0,155",0,C
35,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","198,112,1,28",1,C
36,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","3,232,219,168",3,A
37,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","296,255,4,106",4,C
38,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","193,248,232,5",5,D
39,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","6,27,102,122",6,A
40,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","221,85,7,324",7,C
41,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","169,8,71,60",8,B
42,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","19,9,297,281",9,B
43,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","273,10,101,330",10,B
44,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","11,213,286,105",11,A
45,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","12,231,292,60",12,A
46,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","212,55,233,13",13,D
47,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","121,290,14,146",14,C
48,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","140,212,74,15",15,D
