Index,Sentence,Options,Label,Result
0,All that glitters is not gold.,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
B. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
C. After seeing Tim being disappointed over not making the basketball team, Barry advised him to stray away from his emotions and work hard to try again next year.
D. A fallen tree cannot provide shade.",A,"The most analogous sentence to the target sentence is:

A. Don't trust everything on social media. It appears that people are having the best time of their lives, but remember, it can be fake.

This sentence shares the theme of the target sentence, warning against assuming that something is valuable or true based on appearances. In this case, it cautions against trusting everything seen on social media, as it may not accurately represent reality."
1,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Jake might look confused all the time, but he's really extremely bright.
B. The parents have been living happily ever since they decided not to go through the divorce.
C. The job was finally his after the last interview that went well.
D. When Juli's favorite tree had fallen over, her father created a painting of it and said there was nothing else they could do.",A,"Tags: c#, .net, asp.net-core, asp.net-core-mvc

Question: How to get the current user's email in .NET Core 2.2

I'm using .NET Core 2.2 with Identity and I'm trying to get the current user's email in a controller.

I've tried:

\begin{code}
var user = User.Identity.GetUserId();
var email = _userManager.GetUserAsync(user).Result.Email;
\end{code}

But I get an error:

\begin{blockquote}

System.NullReferenceException: 'Object reference not set to an instance of an object.'
\end{blockquote}

How can I get the current user's email?

Comment: You should check if `User.Identity.IsAuthenticated` before calling `GetUserId()`.

Comment: @TetsuyaYamamoto I did that and it is authenticated.

Comment: @TetsuyaYamamoto I also tried `var user = User.FindFirstValue(ClaimTypes.Name);
var email = _userManager.GetUserAsync(user).Result.Email;` and I still get the same error.

Comment: I'm not sure why you're getting `NullReference"
2,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent.
B. Don’t judge people based on appearances alone; appearances can be deceptive.
C. He danced off his sugar high then promptly fell asleep.
D. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.",B,B. Don’t judge people based on appearances alone; appearances can be deceptive.
3,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Wow, your kid just graduated middle schoool! You must be filled with pride and joy.
B. You wouldn't have these options once you move across the country, so work hard while you are here.
C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
D. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.",C,"# 📚 책 정보

| 책 제목 | 저자 | 출판사 | 출판 연도 | 책 크기 | 책 가격 | 장수 | 추천 독서 연령 | 총 페이지 수 | 저작권 정보 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 코드 네임: 칼리 | 최민수 | 알에이치코리아 | 2021 | 130 x 182 x 23mm | 13,000원 | 320 | 12세 이상 | 320 | 저작권 보호 |

# 📚 책 소개

코드네임: 칼리는 최민수 작가가 ����"
4,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. It is better to use a map with directions than reading the instructions on how to arrive at the event.
C. My sister cannot sleep in a dark room due to her fears, but she wants to challenge herself someday.
D. You can't pour from an empty cup.",A,"The most analogous sentence to the target sentence is:

A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.

This sentence shares a similar structure and theme with the target sentence. Both sentences involve a character being perceived in a certain way based on initial impressions, only to have that perception changed after learning more about the individual."
5,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"A. I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.
B. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
C. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.
D. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.",B,"B. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised."
6,Don’t judge people based on appearances alone; appearances can be deceptive.,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
B. Even though it took me two weeks, I at least sent the letter.
C. Keep a jug full of water near the table in case you get thirsty at night.
D. Be thankful for the sunshine this summer because it only appears briefly during the winter.",A,"The most analogous sentence to the target sentence is:


A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.

This sentence emphasizes the idea that appearances can be deceptive, similar to the target sentence."
7,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.
C. I would rather use my old pan for cooking than buy the new utensil with fancy features.
D. I hate to inform you that your A in chemistry was actually a clerical error.",A,"# 1. 데이터 수집 및 전처리

데이터 수집 및 전처리 과정에서 다음과 같은 작업을 진행했습니다.

1. 데이터 수집: 온라인 쇼핑몰의 판매 데이터를 수집합니다. 이 데이터는 제품 정보, 판매 가격, 판매 시작 시간, 판매 종료 시간 등의 정보를 포함합니다.
2. 데이터 전처리: 수집된 데이터를 전처리하여 모델에 적합한 형태로 변환합니다. 이 과"
8,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","A. If the workers cannot work for 20 hours a week, they can quit.
B. Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again.
C. This shopkeeper always palms off old stock to the customers.
D. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.",D,"The most analogous sentence to the target sentence is:

B. Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again.

This sentence is analogous because it also contains an unexpected revelation about a person's character or abilities, similar to the target sentence. In both sentences, a person's initial appearance or behavior is contrasted with their actual qualities or skills."
9,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","A. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.
B. Mary collected so many books over the years that she eventually had enough to make her own library.
C. Don’t judge people based on appearances alone; appearances can be deceptive.
D. When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. Now, the price has risen to the point where even Will cannot afford it.",C,C. Don’t judge people based on appearances alone; appearances can be deceptive.
