Index,Sentence,Options,Label,Result
0,All that glitters is not gold.,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
B. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
C. After seeing Tim being disappointed over not making the basketball team, Barry advised him to stray away from his emotions and work hard to try again next year.
D. A fallen tree cannot provide shade.",A,"D. A fallen tree cannot provide shade.

Analogous sentence:
Not everything that seems beautiful or valuable is actually so.

Options:
A. Not everything you see on social media is true or accurate.
B. They may think they've won the contract, but we still have some ideas to win it back.
C. After seeing Tim disappointed about not making the basketball team, Barry advised him to stop letting his emotions get in the way and work harder to try again next year.
D. A fallen tree cannot provide shade.

The most analogous sentence to ""All that glitters is not gold"" is ""Not everything that seems beautiful or valuable is actually so."" This is because both sentences convey the idea that appearances can be deceiving and that not everything that seems attractive or valuable is truly so. The options provided include a sentence about social media, a sentence about a potential business deal, and a sentence about working hard to achieve a goal, but none of these directly relate to the concept of appearances being deceiving. The sentence about a fallen tree, however, is analogous because it suggests that something that seems useful or beneficial (a tree providing shade) is not actually so in a particular circumstance (when the tree has fallen)."
1,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Jake might look confused all the time, but he's really extremely bright.
B. The parents have been living happily ever since they decided not to go through the divorce.
C. The job was finally his after the last interview that went well.
D. When Juli's favorite tree had fallen over, her father created a painting of it and said there was nothing else they could do.",A,"B is the most analogous sentence to the target sentence.

Explanation:

B is analogous to the target sentence because it also presents a contrast between appearances and reality. The target sentence describes how the life of royals may seem glamorous and happy from a distance, but in reality, it may not be as enjoyable as it appears. Similarly, B presents a contrast between the appearance of a happy marriage and the reality of a couple living happily ever since they decided not to go through a divorce. Both sentences highlight the fact that appearances can be deceiving, and the reality may be different from what meets the eye."
2,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent.
B. Don’t judge people based on appearances alone; appearances can be deceptive.
C. He danced off his sugar high then promptly fell asleep.
D. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.",B,B. Don’t judge people based on appearances alone; appearances can be deceptive.
3,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Wow, your kid just graduated middle schoool! You must be filled with pride and joy.
B. You wouldn't have these options once you move across the country, so work hard while you are here.
C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
D. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.",C,"C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.

Analogous sentence:
The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.

Explanation:
Both sentences are expressing a situation where something seems to be true or promising, but later it is found out that it is not as it seems. In the first sentence, the CEO seems to be charming and trustworthy, but later it is revealed that his promises were empty. In the second sentence, people seem to be having the best time of their lives on social media, but it is not necessarily true, and it can be fake. Both sentences convey a sense of deception and disappointment.

Letter: C."
4,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. It is better to use a map with directions than reading the instructions on how to arrive at the event.
C. My sister cannot sleep in a dark room due to her fears, but she wants to challenge herself someday.
D. You can't pour from an empty cup.",A,"D. You can't pour from an empty cup.

Analogous sentence:
At first, the new recruits worshipped Kevin as the best player in the game because of his famous goal. But when they met him, they realized that his success was just a fluke, and they learned to look beyond initial impressions.

Options:
A. Claire had always thought that Max was unkind and rude because of his edgy fashion sense. But once she got to know him, she discovered that he was actually kind and sensitive.
B. It's better to use a map with directions than to try to figure out how to get somewhere by reading instructions.
C. My sister is afraid to sleep in a dark room, but she hopes to overcome her fears someday.
D. You can't pour from an empty cup.

Letter: D."
5,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"A. I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.
B. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
C. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.
D. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.",B,"D. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.

Analogous sentence:
Mary was so proud of her rose garden being the best in the city that no one could convince her otherwise, despite it being ordinary in reality.

Letter: D"
6,Don’t judge people based on appearances alone; appearances can be deceptive.,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
B. Even though it took me two weeks, I at least sent the letter.
C. Keep a jug full of water near the table in case you get thirsty at night.
D. Be thankful for the sunshine this summer because it only appears briefly during the winter.",A,A. Don't judge people based on their simple clothing alone; wealth and status are not always reflected in one's attire.
7,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.
C. I would rather use my old pan for cooking than buy the new utensil with fancy features.
D. I hate to inform you that your A in chemistry was actually a clerical error.",A,"C is the most analogous sentence to the target sentence.

Note: Only generate a letter from [A, B, C, D] without any additional text.

Target Sentence:
Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.

Options:
A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.
C. I would rather use my old pan for cooking than buy the new utensil with fancy features.
D. I hate to inform you that your A in chemistry was actually a clerical error.

Explanation:

In the target sentence, the speaker is warning against making assumptions based on appearances. The person in question dresses simply, but in reality, is wealthy. The analogous sentence, ""I would rather use my old pan for cooking than buy the new utensil with fancy features,"" also suggests that appearances can be deceiving. The speaker prefers to use an old, familiar pan rather than buying a new one with fancy features, implying that sometimes, the simpler option is better. Both sentences caution against making hasty judgments based on external factors."
8,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","A. If the workers cannot work for 20 hours a week, they can quit.
B. Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again.
C. This shopkeeper always palms off old stock to the customers.
D. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.",D,"D.

Note: The most analogous sentence would be ""Although Jane appears to be a genius, she actually struggles with basic math concepts."" However, we are only asked to generate a letter, so the closest option would be D, as it involves a contrast between appearance and reality."
9,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","A. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.
B. Mary collected so many books over the years that she eventually had enough to make her own library.
C. Don’t judge people based on appearances alone; appearances can be deceptive.
D. When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. Now, the price has risen to the point where even Will cannot afford it.",C,C. Don’t judge people based on appearances alone; appearances can be deceptive.
