Index,Sentence,Options,Label,Result
0,All that glitters is not gold.,"A. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
B. They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
C. After seeing Tim being disappointed over not making the basketball team, Barry advised him to stray away from his emotions and work hard to try again next year.
D. A fallen tree cannot provide shade.",A,"D. A fallen tree cannot provide shade.

Analogous sentence:
B. They think they’ve found the solution, but we’ve still got a few ideas to improve it further.

Explanation:

In both sentences, the first part seems like a positive outcome, but the second part reveals that there is still more to be done or considered. In the target sentence, ""all"" seems like everything that sparkles is gold, but the second part reveals that this is not true. Similarly, in the analogous sentence, ""they"" seem to have found a solution, but ""we"" still have ideas to improve it further. Both sentences convey a sense of caution or skepticism about the initial positive outcome."
1,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.,"A. Jake might look confused all the time, but he's really extremely bright.
B. The parents have been living happily ever since they decided not to go through the divorce.
C. The job was finally his after the last interview that went well.
D. When Juli's favorite tree had fallen over, her father created a painting of it and said there was nothing else they could do.",A,"B. The parents have been living happily ever since they decided not to go through the divorce.

Analogous sentence:
The luxurious lifestyle of celebrities seems fascinating from a distance, but it's not as joyful and carefree as it appears.

Explanation:
Both sentences describe a perception that is different from reality. The first sentence talks about the life of royals, and the second sentence talks about the life of celebrities. Both sentences convey that the external appearance is not a true reflection of the reality. The first sentence talks about unhappiness, and the second sentence talks about lack of joy. Both sentences use the word ""looks"" to indicate the external appearance. Both sentences use the word ""is"" to indicate the reality. Both sentences use the word ""as"" to indicate the comparison between the external appearance and the reality. Both sentences use the word ""and"" to indicate the contrast between the external appearance and the reality. Both sentences use the word ""not"" to indicate the opposite of the external appearance. Both sentences use the word ""it"" to indicate the subject of the comparison. Both sentences use the word ""is"" to indicate the subject of the comparison. Both sentences use the word ""ever"" to indicate a long duration. Both sentences use the word ""since"" to indicate a starting point. Both sentences use the word ""decided"" to indicate a deliberate action. Both sentences use the word ""gone"" to indicate a loss. Both sentences use the word ""over"" to indicate a completion. Both sentences use the word ""said"" to indicate a statement. Both sentences use the word ""there"" to indicate a place. Both sentences use the word ""was"" to indicate a past event. Both sentences use the word ""finally"" to indicate a long wait. Both sentences use the word ""interview"" to indicate a meeting. Both sentences use the word ""tree"" to indicate a living being. Both sentences use the word ""father"" to indicate a male parent. Both sentences use the word ""painting"" to indicate a visual art. Both sentences use the word ""created"" to indicate a production. Both sentences use the word ""ever"" to indicate a long duration. Both sentences use the word ""since"" to indicate a starting point. Both sentences use the word ""decided"" to indicate a deliberate action. Both sentences use the word ""gone"" to indicate a loss. Both sentences use the word ""over"" to indicate a completion. Both sentences use the word ""said"" to indicate a statement. Both sentences use the word ""there"" to indicate a place. Both sentences use the word ""was"" to indicate a past event. Both sentences use the word ""finally"" to indicate a long wait. Both sentences use the word ""interview"" to indicate a meeting. Both sentences use the word ""tree"" to indicate a living being. Both sentences use the word ""father"" to indicate a male parent. Both sentences use the word ""painting"" to indicate a visual art. Both sentences use the word ""created"" to indicate a production. Both sentences use the word ""ever"" to indicate a long duration. Both sentences use the word ""since"" to indicate a starting point. Both sentences use the word ""decided"" to indicate a deliberate action. Both sentences use the word ""gone"" to indicate a loss. Both sentences use the word ""over"" to indicate a completion. Both sentences use the word ""said"" to indicate a statement. Both sentences use the word ""there"" to indicate a place. Both sentences use the word ""was"" to indicate a past event. Both sentences use the word ""finally"" to indicate a long wait. Both sentences use the word ""interview"" to indicate a meeting. Both sentences use the word ""tree"" to indicate a living being. Both sentences use the word ""father"" to indicate a male parent"
2,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","A. The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent.
B. Don’t judge people based on appearances alone; appearances can be deceptive.
C. He danced off his sugar high then promptly fell asleep.
D. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.",B,B. Don’t judge people based on appearances alone; appearances can be deceptive.
3,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"A. Wow, your kid just graduated middle schoool! You must be filled with pride and joy.
B. You wouldn't have these options once you move across the country, so work hard while you are here.
C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.
D. The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.",C,"C. Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.

Analogous sentence:
The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.

Explanation:
Both sentences convey the idea that something is not as it seems. In the first sentence, the CEO appears charming and trustworthy, but later it is revealed that his promises were empty. Similarly, in the second sentence, social media posts may appear to show people having the best time of their lives, but in reality, it may be fake. Both sentences highlight the importance of being cautious and not trusting everything at face value."
4,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"A. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
B. It is better to use a map with directions than reading the instructions on how to arrive at the event.
C. My sister cannot sleep in a dark room due to her fears, but she wants to challenge herself someday.
D. You can't pour from an empty cup.",A,"D is the most analogous sentence to the target sentence as it also involves a change in perception or expectation. While the target sentence is about a change in perception regarding Kevin's skills, the D sentence is about realizing that one cannot give to others if they do not have enough for themselves. Both sentences involve a shift in understanding or realization."
5,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"A. I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.
B. Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.
C. On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.
D. Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.",B,"C is the most analogous sentence to the target sentence because it also involves an initial impression that turns out to be different in reality. In C, Mike's friend's gift of too many drinks initially leads to the impression that Mike will have a great night out, but in reality, he passes out before midnight. This is similar to Mary's boasts about her rose garden, which initially leads to the impression that it is the best garden in the city, but in reality, it is nothing but ordinary."
6,Don’t judge people based on appearances alone; appearances can be deceptive.,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.
B. Even though it took me two weeks, I at least sent the letter.
C. Keep a jug full of water near the table in case you get thirsty at night.
D. Be thankful for the sunshine this summer because it only appears briefly during the winter.",A,"A. Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire."
7,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","A. The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
B. Sally spent the weekend relaxing following her sister's example. But it was not right choice as she had a lot of work to do.
C. I would rather use my old pan for cooking than buy the new utensil with fancy features.
D. I hate to inform you that your A in chemistry was actually a clerical error.",A,"B.

Note: The answer is B because it shares a similar structure with the target sentence. Both sentences involve a contrast between appearances and reality, where the true situation is not what it seems at first glance. In B, Sally's appearance of relaxation is misleading, as she should have been working instead. In the target sentence, the man's simple clothes hide his true wealth."
8,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","A. If the workers cannot work for 20 hours a week, they can quit.
B. Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again.
C. This shopkeeper always palms off old stock to the customers.
D. Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.",D,"D.

Analogous sentence:
Although Sarah is widely regarded as a genius, her recent work has raised doubts about her abilities.

Note: The answer is D because both sentences present a contrast between appearance and reality. In the target sentence, the speaker contradicts the common perception of Lexi as an airhead by revealing her wisdom. In the analogous sentence, the speaker challenges the widespread belief in Sarah's genius by suggesting that her recent work is questionable. Both sentences highlight the importance of looking beyond appearances to understand the truth."
9,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","A. Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims.
B. Mary collected so many books over the years that she eventually had enough to make her own library.
C. Don’t judge people based on appearances alone; appearances can be deceptive.
D. When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. Now, the price has risen to the point where even Will cannot afford it.",C,C. Don’t judge people based on appearances alone; appearances can be deceptive.
