Sentence 1,Sentence 2
A forest grew near the river. ,Many students came to study under the guru. 
A forest grew near the river. ,"First John joined the dinner table for a snack, but soon after he took a fork and knife, filled a plate and started eating. "
A forest grew near the river. ,"Mary opened the huge book at the first page. Before she knew it, she had read the whole thing. "
A forest grew near the river. ,Andy opened the window blinds to see the sun rising. The dark room was brighly lit in a few hours. 
A forest grew near the river. ,A large suburban community grew just outside the the metropolitan side of the city over the past few decade. 
A golden sun shines high in the sky.,The sharpest employees reach the top of the ladder.
Adam did not understand the root of the crisis.,The child could not reach the top shelf.
After letting off his rage he sat down like a lamb.,The weather finally became pleasant after the stormy week.
After letting off his rage he sat down like a lamb.,After crying the entire night she greeted everyone like sunshine.
After letting off his rage he sat down like a lamb.,A soft breeze blew after the gust of wind shook down the shacks.
After letting off his rage he sat down like a lamb.,"After the garden caught fire, there was nothing but ash left."
After letting off his rage he sat down like a lamb.,He lost all that energy after dancing off his sugar high. 
After working two years for the company she was burned out.,He collapsed after he ran for the marathon.
Ahab was a pyramid but I kept kicking at him.,The car hardly got scratched despite the rough terrain.
And now they were leaking all kinds of documents to the press.,The actors displayed every bit of their talent in the rehearsal to impress the director.
"By that time, my friend was broke, so he had to sell his house.","After losing half of the soldiers, they had no other option but to use the tank to fight."
Calm down - there's no need to get all steamed up about it.,"Stop running in circles, shorten the diameter and reach for the point!"
Computer science’s Nobel prize.,The Roger Federer of soccer.
David is a worm for what he did to Shelia.,The commis chef did a disservice to the restaurant by burning the bread.
David’s eyes were like daggers at Paul when Paul invited his new girlfriend to dance.,The news channels responded harshly as the celebrity couple filed for divorce.
Don't mention Tom 's promotion to Mike as it might offend him.,Research the idea in detail before presenting to the experts as any mistake would reflect poorly on your grades. 
Each blade of grass was a bayonet pointed firmly at our bare feet,Every cigarette you smoked is a threat to your health.
Every person has bitter memories,She has to deal with her past demons.
Fear had changed him to a shaken jelly.,The wave crushed the mountain into rolling stones.
He always had an interest for the fruit of knowledge,She kept imitating her favorite performer for the love of acting. 
He attacked every point in my argument,"Malcolm's impassioned voice was like a clap of thunder, startling everyone at the table."
It's hard to love with a broken heart.,A broken cup can no longer contain its coffee.
"She wanted to buy a dress in case someone asked her to the dance, but I told her not to count her chickens before they hatched.","He wanted to buy a big house and a car, but his father told him to get a job first."
"She wanted to buy a dress in case someone asked her to the dance, but I told her not to count her chickens before they hatched.","Mary started making vacation plans, but Garry told her she might not get leave till the project was done."
"She wanted to buy a dress in case someone asked her to the dance, but I told her not to count her chickens before they hatched.","Larry wondered of getting an autograph book in case he ran into a celebrity at the event, but Kevin told him he might not get an invite."
"She wanted to buy a dress in case someone asked her to the dance, but I told her not to count her chickens before they hatched.","Sarah wanted to paint the room to build a nursery, but John told her to wait for the adoption agency's decision."
"She wanted to buy a dress in case someone asked her to the dance, but I told her not to count her chickens before they hatched.","Sarah wanted to book the honeymoon tickets, but her friend told her to wait for the proposal."
The deal was finally in the bag after a few rounds of tough negotiations. ,The game was in the bag when the team scored their third goal.
The deal was finally in the bag after a few rounds of tough negotiations. ,"After months of hard campaigning, the elections were in the politician's bag"
The deal was finally in the bag after a few rounds of tough negotiations. ,The job was finally his after the last interview that went well.
The deal was finally in the bag after a few rounds of tough negotiations. ,"Everyone thought that he would lose, but he had gained control over the match once he put in a tremendous performance and rose triumphantly."
The deal was finally in the bag after a few rounds of tough negotiations. ,"Having received a lot of praise from the management, he had secured the promotion."
The project is going ahead as planned.,The employee carried out the proposal as discussed with the manager.
The water is flowing from a large beaker to a smaller one through a narrow pipe.,Lake Erie drains into Lake Ontario via the Niagara River.
The water is flowing from a large beaker to a smaller one through a narrow pipe.,The parent tries to instill bits of knowledge in their child through simple communication.
The water is flowing from a large beaker to a smaller one through a narrow pipe.,The stove’s heat quickly warmed up the little pan I put on it.
The water is flowing from a large beaker to a smaller one through a narrow pipe.,Part of the state budget comes from the federal government’s massive spending package.
The water is flowing from a large beaker to a smaller one through a narrow pipe.,My tiny daily coffee expenses are sucking up all my income.
There is no possibility of other intelligent life in the universe as no astronaut has seen an alien.,"Taking a cup, dipping it in the ocean, seeing there is no fish in your cup, and determining there is no fish in the entire ocean."
